Class	ITIS TSN	Scientific name	Common name	Rank	#records
Mammalia	180633	Arctocephalus australis	South American Fur Seal	Species	11
Mammalia	180631	Arctocephalus forsteri	Australasian fur seal	Species	12
Mammalia	180634	Arctocephalus galapagoensis	Galpagos fur seal	Species	106
Mammalia	180630	Arctocephalus gazella	Antarctic Fur Seal	Species	25504
Mammalia	180635	Arctocephalus philippii	Juan Fernndez Fur Seal	Species	1
Mammalia	180629	Arctocephalus pusillus	Brown Fur Seal	Species	364
Mammalia	180636	Arctocephalus townsendi	Guadalupe Fur Seal	Species	59
Mammalia	180632	Arctocephalus tropicalis	Amsterdam fur seal	Species	77
Mammalia	180533	Balaena mysticetus	Bowhead	Species	11153
Mammalia	180524	Balaenoptera acutorostrata	Common Minke Whale	Species	252683
Mammalia	612592	Balaenoptera bonaerensis	Antarctic Minke Whale	Species	479
Mammalia	180526	Balaenoptera borealis	Sei Whale	Species	7273
Mammalia	612597	Balaenoptera brydei	Bryde's whale	Species	1997
Mammalia	180525	Balaenoptera edeni	Eden's whale	Species	856
Mammalia	180528	Balaenoptera musculus	Blue Whale	Species	16858
Mammalia	612605	Balaenoptera musculus brevicauda	Pygmy blue whale	Subspecies	499
Mammalia	770889	Balaenoptera omurai	Omurai's Whale	Species	16
Mammalia	180527	Balaenoptera physalus	Fin Whale	Species	93490
Mammalia	180495	Berardius arnuxii	Arnoux's Beaked Whale	Species	32
Mammalia	180496	Berardius bairdii	Baird's Beaked Whale	Species	209
Mammalia	180627	Callorhinus ursinus	Northern Fur Seal	Species	2707
Mammalia	180535	Caperea marginata	Pygmy Right Whale	Species	27
Mammalia	180449	Cephalorhynchus commersonii	Commerson's Dolphin	Species	142
Mammalia	180450	Cephalorhynchus eutropia	Black Dolphin	Species	6
Mammalia	180451	Cephalorhynchus heavisidii	Haviside's Dolphin	Species	63
Mammalia	180452	Cephalorhynchus hectori	Hector's Dolphin	Species	46
Mammalia	180657	Cystophora cristata	Hooded Seal	Species	348
Mammalia	180483	Delphinapterus leucas	Beluga	Species	5180
Mammalia	555654	Delphinus capensis	Long-beaked Common Dolphin	Species	602
Mammalia	771147	Delphinus capensis tropicalis	Indo-Pacific common dolphin	Subspecies	10
Mammalia	180438	Delphinus delphis	Short-beaked Common Dolphin	Species	65175
Mammalia	771137	Delphinus delphis ponticus	Black Sea Common Dolphin	Subspecies	1408
Mammalia	180679	Dugong dugon	Dugong	Species	6533
Mammalia	180547	Enhydra lutris	Sea Otter	Species	2102
Mammalia	622038	Enhydra lutris kenyoni	northern sea otter	Subspecies	312
Mammalia	202390	Enhydra lutris nereis	California sea otter	Subspecies	28
Mammalia	180655	Erignathus barbatus	Bearded Seal	Species	4863
Mammalia	180521	Eschrichtius robustus	Gray Whale	Species	24142
Mammalia	552771	Eubalaena australis	Southern Right Whale	Species	15910
Mammalia	180537	Eubalaena glacialis	North Atlantic Right Whale	Species	11505
Mammalia	612591	Eubalaena japonica	North Pacific Right Whale	Species	2004
Mammalia	180625	Eumetopias jubatus	Steller Sea Lion	Species	887
Mammalia	180461	Feresa attenuata	Pygmy Killer Whale	Species	234
Mammalia	180466	Globicephala macrorhynchus	Short-finned Pilot Whale	Species	3816
Mammalia	552461	Globicephala melas	Long-finned Pilot Whale	Species	10051
Mammalia	612615	Globicephala melas edwardii	Southern Longfinned Pilot Whale	Subspecies	7
Mammalia	180457	Grampus griseus	Risso's Dolphin	Species	13921
Mammalia	180653	Halichoerus grypus	Atlantic gray seal	Species	231110
Mammalia	622021	Histriophoca fasciata	Ribbon Seal	Species	6
Mammalia	180667	Hydrurga leptonyx	Leopard seal	Species	1528
Mammalia	180504	Hyperoodon ampullatus	Northern bottlenose whale	Species	4489
Mammalia	180505	Hyperoodon planifrons	Southern Bottlenose Whale	Species	75
Mammalia	180502	Indopacetus pacificus	Longman's Beaked Whale	Species	39
Mammalia	180407	Inia geoffrensis	Amazon River Dolphin	Species	3
Mammalia	180491	Kogia breviceps	Pygmy Sperm Whale	Species	289
Mammalia	180492	Kogia sima	Dwarf Sperm Whale	Species	904
Mammalia	180440	Lagenodelphis hosei	Fraser's Dolphin	Species	146
Mammalia	180443	Lagenorhynchus acutus	Atlantic White-sided Dolphin	Species	9091
Mammalia	180442	Lagenorhynchus albirostris	White-beaked Dolphin	Species	4739
Mammalia	180446	Lagenorhynchus australis	Peale's Dolphin	Species	166
Mammalia	180447	Lagenorhynchus cruciger	Hourglass Dolphin	Species	109
Mammalia	180444	Lagenorhynchus obliquidens	Pacific White-sided Dolphin	Species	3542
Mammalia	180445	Lagenorhynchus obscurus	Dusky Dolphin	Species	188
Mammalia	180669	Leptonychotes weddellii	Weddell Seal	Species	28033
Mammalia	180454	Lissodelphis borealis	Northern Right Whale Dolphin	Species	844
Mammalia	180455	Lissodelphis peronii	Southern Right Whale Dolphin	Species	35
Mammalia	622023	Lobodon carcinophaga	Crabeater Seal	Species	39
Mammalia	180530	Megaptera novaeangliae	Humpback Whale	Species	265248
Mammalia	180515	Mesoplodon bidens	Sowerby's Beaked Whale	Species	267
Mammalia	180517	Mesoplodon densirostris	Blainville's Beaked Whale	Species	78938
Mammalia	180509	Mesoplodon europaeus	Gervais' Beaked Whale	Species	103
Mammalia	180511	Mesoplodon grayi	Gray's Beaked Whale	Species	7
Mammalia	180507	Mesoplodon hectori	Hector's Beaked Whale	Species	1
Mammalia	180516	Mesoplodon layardii	Layard's beaked whale	Species	33
Mammalia	180508	Mesoplodon mirus	True's Beaked Whale	Species	29
Mammalia	552772	Mesoplodon peruvianus	Peruvian beaked whale	Species	40
Mammalia	180514	Mesoplodon stejnegeri	Bering Sea beaked whale	Species	1
Mammalia	612598	Mesoplodon traversii	Spade-toothed Whale	Species	1
Mammalia	180672	Mirounga angustirostris	Northern Elephant Seal	Species	115271
Mammalia	180671	Mirounga leonina	Southern Elephant Seal	Species	238830
Mammalia	180659	Monachus monachus	Mediterranean Monk Seal	Species	6
Mammalia	180661	Monachus schauinslandi	Hawaiian Monk Seal	Species	145
Mammalia	180660	Monachus tropicalis	Caribbean Monk Seal	Species	6
Mammalia	180485	Monodon monoceros	Narwhal	Species	183
Mammalia	180623	Neophoca cinerea	Australian Sealion	Species	9090
Mammalia	180478	Neophocaena phocaenoides	Finless Porpoise	Species	41
Mammalia	612624	Neophocaena phocaenoides asiaeorientalis	Yangtze finless porpoise	Subspecies	640
Mammalia	180639	Odobenus rosmarus	Walrus	Species	4340
Mammalia	180665	Ommatophoca rossii	Ross Seal	Species	1102
Mammalia	180471	Orcaella brevirostris	Irrawaddy Dolphin	Species	67
Mammalia	180469	Orcinus orca	Killer Whale	Species	12454
Mammalia	180619	Otaria flavescens	South American Sealion	Species	83359
Mammalia	622022	Pagophilus groenlandicus	Harp Seal	Species	2648
Mammalia	180459	Peponocephala electra	Melon-headed Whale	Species	399
Mammalia	180642	Phoca largha	Spotted Seal	Species	131
Mammalia	180617	Phocarctos hookeri	Auckland sea lion	Species	231
Mammalia	180649	Phoca vitulina	Harbor Seal	Species	81930
Mammalia	180475	Phocoena dioptrica	Spectacled Porpoise	Species	1
Mammalia	180473	Phocoena phocoena	Harbor Porpoise	Species	63826
Mammalia	771140	Phocoena phocoena relicta	Black Sea Harbor Porpoise	Subspecies	5915
Mammalia	180474	Phocoena sinus	Gulf of California harbor porpoise	Species	271
Mammalia	180476	Phocoena spinipinnis	Burmeister's Porpoise	Species	1
Mammalia	180480	Phocoenoides dalli	Dall's Porpoise	Species	6877
Mammalia	180488	Physeter macrocephalus	Sperm Whale	Species	66212
Mammalia	180413	Platanista gangetica	Ganges River Dolphin	Species	127
Mammalia	180414	Platanista minor	Indus River Dolphin	Species	364
Mammalia	180411	Pontoporia blainvillei	Franciscana	Species	2
Mammalia	180463	Pseudorca crassidens	False Killer Whale	Species	1456
Mammalia	622018	Pusa hispida	Ringed Seal	Species	5184
Mammalia	180422	Sotalia fluviatilis	Gray Dolphin	Species	32
Mammalia	770938	Sotalia guianensis		Species	676
Mammalia	180419	Sousa chinensis	Chinese white dolphin	Species	76
Mammalia	612594	Sousa plumbea	Indian humpback dolphin	Species	18
Mammalia	180420	Sousa teuszii	Atlantic Humpback Dolphin	Species	4
Mammalia	180430	Stenella attenuata	Pantropical Spotted Dolphin	Species	4280
Mammalia	180431	Stenella attenuata graffmani	coastal spotted dolphin	Subspecies	299
Mammalia	180435	Stenella clymene	Clymene Dolphin	Species	128
Mammalia	180434	Stenella coeruleoalba	Striped Dolphin	Species	19018
Mammalia	552460	Stenella frontalis	Atlantic Spotted Dolphin	Species	14388
Mammalia	180429	Stenella longirostris	Spinner Dolphin	Species	2253
Mammalia	771138	Stenella longirostris centroamericana		Subspecies	15
Mammalia	612611	Stenella longirostris longirostris		Subspecies	6
Mammalia	612612	Stenella longirostris orientalis		Subspecies	935
Mammalia	180417	Steno bredanensis	Rough-toothed Dolphin	Species	1322
Mammalia	180500	Tasmacetus shepherdi	Shepherd's Beaked Whale	Species	6
Mammalia	180684	Trichechus manatus	West Indian Manatee	Species	486
Mammalia	610165	Trichechus manatus latirostris	Florida manatee	Subspecies	29951
Mammalia	610164	Trichechus manatus manatus	Antillean manatee	Subspecies	34
Mammalia	612596	Tursiops aduncus	Indian Ocean bottlenose dolphin	Species	1389
